id,game_id,team_id,score,seed
1,1,1,13,3
2,1,2,10,9
3,2,3,15,5
4,2,4,3,15
5,3,5,15,2
6,3,6,2,12
7,4,7,11,8
8,4,8,10,14
9,5,9,9,19
10,5,10,6,25
11,6,11,8,17
12,6,12,9,21
13,7,13,9,18
14,7,14,11,22
15,8,5,14,2
16,8,3,8,5
17,9,15,15,20
18,9,16,4,24
19,10,1,11,3
20,10,7,8,8
21,11,2,11,9
22,11,8,8,14
23,12,6,11,12
24,12,4,6,15
25,13,12,11,21
26,13,10,6,25
27,14,9,14,19
28,14,17,4,23
29,15,18,12,4
30,15,19,9,10
31,16,20,13,7
32,16,21,11,13
33,17,22,15,1
34,17,23,6,11
35,18,24,15,6
36,18,25,2,16
37,19,11,15,17
38,19,17,1,23
39,20,13,5,18
40,20,16,15,24
41,21,9,10,19
42,21,12,7,21
43,22,11,12,17
44,22,10,4,25
45,23,3,15,5
46,23,6,3,12
47,24,5,15,2
48,24,4,4,15
49,25,7,9,8
50,25,2,12,9
51,26,1,15,3
52,26,8,4,14
53,27,15,11,20
54,27,14,4,22
55,28,12,15,21
56,28,17,3,23
57,29,24,15,6
58,29,23,9,11
59,30,20,8,7
60,30,19,15,10
61,31,22,15,1
62,31,25,1,16
63,32,18,13,4
64,32,21,7,13
65,33,13,5,18
66,33,15,15,20
67,34,14,6,22
68,34,16,11,24
69,35,17,5,23
70,35,10,9,25
71,36,11,12,17
72,36,9,6,19
73,37,23,15,11
74,37,25,2,16
75,38,22,13,1
76,38,24,10,6
77,39,18,12,4
78,39,20,9,7
79,40,19,10,10
80,40,21,11,13
81,41,14,12,22
82,41,17,7,25
83,42,4,7,15
84,42,21,13,10
85,43,23,7,11
86,43,8,8,14
87,44,20,15,13
88,44,6,5,12
89,45,9,11,21
90,45,13,9,24
91,46,7,15,9
92,46,25,9,16
93,47,22,15,1
94,47,2,7,8
95,48,15,12,18
96,48,12,9,19
97,49,3,10,5
98,49,18,13,4
99,50,11,15,17
100,50,16,9,20
101,51,1,12,3
102,51,24,10,6
103,52,7,9,9
104,52,20,12,12
105,53,19,8,7
106,53,5,12,2
107,54,8,11,11
108,54,21,10,10
109,55,9,14,21
110,55,14,8,22
111,56,1,11,3
112,56,5,9,2
113,57,10,7,23
114,57,13,9,24
115,58,22,12,1
116,58,18,10,4
117,59,4,8,15
118,59,23,15,14
119,60,6,13,13
120,60,25,9,16
121,61,14,13,22
122,61,10,10,23
123,62,20,15,9
124,62,8,10,10
125,63,11,8,17
126,63,15,15,18
127,64,13,11,24
128,64,17,10,25
129,65,19,11,7
130,65,24,10,6
131,66,21,10,11
132,66,7,11,12
133,67,3,11,5
134,67,2,9,8
135,68,12,15,19
136,68,16,9,20
137,69,6,7,13
138,69,23,14,14
139,70,3,9,5
140,70,19,12,6
141,71,4,12,15
142,71,25,11,16
143,72,22,15,1
144,72,1,5,2
145,73,5,9,3
146,73,18,15,4
147,74,24,11,7
148,74,2,9,8
149,75,1,15,1
150,75,26,3,9
151,76,27,15,3
152,76,28,0,8
153,77,29,15,2
154,77,30,2,10
155,78,31,12,6
156,78,32,5,11
157,79,29,13,2
158,79,25,5,5
159,80,4,13,4
160,80,33,11,7
161,81,1,15,1
162,81,28,0,8
163,82,27,14,3
164,82,32,8,11
165,83,31,14,6
166,83,26,5,9
167,84,29,15,2
168,84,4,5,4
169,85,25,10,5
170,85,30,5,10
171,86,28,0,8
172,86,26,15,9
173,87,25,4,5
174,87,33,12,7
175,88,4,14,4
176,88,30,5,10
177,89,1,15,1
178,89,32,4,11
179,90,27,10,3
180,90,31,15,6
181,91,29,13,2
182,91,33,7,7
183,92,26,13,9
184,92,32,14,11
185,93,31,15,6
186,93,28,0,8
187,94,1,15,1
188,94,27,7,3
189,95,1,8,1
190,95,31,12,6
191,96,4,12,4
192,96,25,9,5
193,97,33,15,7
194,97,30,3,10
195,98,27,15,3
196,98,26,4,9
197,99,28,4,8
198,99,32,15,11
199,100,31,15,1
200,100,4,8,4
201,101,1,12,3
202,101,29,10,2
203,102,26,12,9
204,102,30,6,10
205,103,33,11,5
206,103,32,6,8
207,104,27,15,6
208,104,25,8,7
209,105,29,13,3
210,105,4,7,4
211,106,33,7,5
212,106,27,15,6
213,107,30,11,10
214,107,28,5,11
215,108,25,10,7
216,108,32,12,8
217,109,31,14,1
218,109,1,7,2
219,110,34,15,1
220,110,35,10,12
221,111,36,15,2
222,111,37,0,11
223,112,38,10,3
224,112,39,13,10
225,113,40,13,4
226,113,41,10,9
227,114,40,8,4
228,114,42,14,6
229,115,34,14,1
230,115,43,5,7
231,116,36,15,2
232,116,44,1,8
233,117,38,13,3
234,117,45,11,5
235,118,45,10,5
236,118,39,12,10
237,119,43,11,7
238,119,35,12,12
239,120,44,15,8
240,120,37,5,11
241,121,42,3,6
242,121,41,14,9
243,122,41,7,4
244,122,36,15,2
245,123,35,14,7
246,123,45,11,10
247,124,40,15,6
248,124,37,2,11
249,125,43,9,12
250,125,38,15,5
251,126,42,14,9
252,126,44,11,8
253,127,34,9,1
254,127,39,11,3
255,128,40,13,6
256,128,34,10,3
257,129,41,9,4
258,129,38,11,5
259,130,35,7,7
260,130,36,15,2
261,131,39,13,1
262,131,42,8,8
263,132,44,12,9
264,132,37,6,11
265,133,45,8,10
266,133,43,15,12
267,134,34,15,6
268,134,35,5,7
269,135,41,11,5
270,135,42,6,8
271,136,44,8,9
272,136,43,10,12
273,137,40,4,3
274,137,36,15,2
275,138,45,12,10
276,138,37,5,11
277,139,39,9,1
278,139,38,15,4
279,140,41,5,5
280,140,34,15,6
281,141,35,13,7
282,141,42,10,8
283,142,40,15,3
284,142,39,4,4
285,143,38,8,1
286,143,36,13,2
287,144,44,10,9
288,144,45,11,10
289,145,37,10,11
290,145,43,15,12
291,146,2,11,2
292,146,46,7,5
293,147,47,6,4
294,147,48,8,9
295,148,46,11,5
296,148,48,6,9
297,149,8,12,3
298,149,49,2,6
299,150,47,6,4
300,150,50,10,7
301,151,7,13,1
302,151,51,0,11
303,152,52,14,8
304,152,53,3,10
305,153,2,10,2
306,153,50,5,7
307,154,7,9,1
308,154,53,2,10
309,155,8,9,3
310,155,52,10,8
311,156,49,13,6
312,156,51,2,11
313,157,2,11,2
314,157,48,5,9
315,158,47,4,4
316,158,46,9,5
317,159,53,7,10
318,159,51,5,11
319,160,49,9,6
320,160,52,12,8
321,161,7,8,1
322,161,8,5,3
323,162,46,9,5
324,162,50,7,7
325,163,2,13,2
326,163,47,1,4
327,164,52,12,8
328,164,51,2,11
329,165,8,10,3
330,165,53,4,10
331,166,7,8,1
332,166,49,6,6
333,167,50,5,7
334,167,48,8,9
335,168,49,13,6
336,168,53,6,10
337,169,7,8,1
338,169,52,6,8
339,170,8,13,3
340,170,51,1,11
341,171,8,13,6
342,171,50,5,7
343,172,48,5,5
344,172,49,15,8
345,173,47,11,9
346,173,51,10,11
347,174,7,6,1
348,174,46,14,4
349,175,52,5,3
350,175,2,15,2
351,176,50,10,7
352,176,48,9,8
353,177,49,15,5
354,177,8,0,6
355,178,53,13,10
356,178,51,11,11
357,179,52,7,3
358,179,7,15,4
359,180,46,9,1
360,180,2,13,2
361,181,47,10,9
362,181,53,12,10
363,182,54,11,3
364,182,55,5,10
365,183,56,11,1
366,183,57,8,6
367,184,58,15,4
368,184,59,2,9
369,185,60,14,2
370,185,61,3,5
371,186,56,15,1
372,186,62,3,8
373,187,57,15,6
374,187,55,3,10
375,188,54,15,3
376,188,62,1,8
377,189,61,13,5
378,189,59,5,9
379,190,58,14,4
380,190,63,7,7
381,191,56,13,1
382,191,55,3,10
383,192,60,14,2
384,192,63,4,7
385,193,58,13,4
386,193,61,5,5
387,194,54,12,3
388,194,57,6,6
389,195,60,15,2
390,195,59,0,9
391,196,57,10,6
392,196,62,6,8
393,197,61,6,5
394,197,63,9,7
395,198,62,3,8
396,198,55,11,10
397,199,60,15,2
398,199,58,6,4
399,200,63,11,7
400,200,59,7,9
401,201,56,12,1
402,201,54,7,3
403,202,56,15,1
404,202,58,6,4
405,203,57,14,6
406,203,61,11,7
407,204,60,15,2
408,204,54,9,3
409,205,55,10,8
410,205,63,15,5
411,206,61,12,7
412,206,62,11,10
413,207,55,12,8
414,207,59,9,9
415,208,63,10,5
416,208,54,12,3
417,209,58,11,4
418,209,57,10,6
419,210,56,11,1
420,210,60,15,2
421,211,59,15,9
422,211,62,4,10
423,212,61,12,7
424,212,55,7,8
425,213,54,14,3
426,213,58,8,4
427,214,63,11,5
428,214,57,14,6
429,215,64,15,3
430,215,65,1,8
431,216,66,11,2
432,216,67,5,9
433,217,68,11,5
434,217,69,1,7
435,218,70,15,1
436,218,71,2,6
437,219,72,3,4
438,219,68,11,5
439,220,64,15,3
440,220,71,0,6
441,221,72,3,4
442,221,67,11,9
443,222,66,15,2
444,222,69,0,7
445,223,70,15,1
446,223,65,3,8
447,224,66,9,2
448,224,68,8,5
449,225,72,12,4
450,225,69,6,7
451,226,68,0,5
452,226,67,15,9
453,227,71,9,6
454,227,65,12,8
455,228,70,10,1
456,228,64,15,3
457,229,69,2,7
458,229,67,15,9
459,230,66,15,2
460,230,72,1,4
461,231,68,7,5
462,231,65,5,6
463,232,72,11,7
464,232,71,7,8
465,233,70,3,3
466,233,66,15,2
467,234,64,15,1
468,234,67,12,4
469,235,65,13,6
470,235,69,6,9
471,236,68,15,5
472,236,71,2,8
473,237,65,7,6
474,237,72,11,7
475,238,64,13,1
476,238,66,15,2
477,239,70,8,3
478,239,67,15,4
479,240,71,6,8
480,240,69,9,9
481,241,7,15,2
482,241,73,5,12
483,242,74,15,3
484,242,52,6,9
485,243,24,15,1
486,243,75,4,11
487,244,76,11,8
488,244,73,7,12
489,245,77,8,5
490,245,52,13,9
491,246,47,11,4
492,246,78,12,10
493,247,7,15,2
494,247,76,6,8
495,248,15,15,6
496,248,78,6,10
497,249,79,10,7
498,249,75,11,11
499,250,74,14,3
500,250,77,10,5
501,251,24,15,1
502,251,79,4,7
503,252,47,8,4
504,252,15,15,6
505,253,52,12,5
506,253,73,6,12
507,254,76,13,8
508,254,77,8,9
509,255,78,10,6
510,255,79,9,11
511,256,24,15,1
512,256,74,7,3
513,257,7,11,2
514,257,15,8,4
515,258,75,11,7
516,258,47,13,10
517,259,74,15,3
518,259,78,6,6
519,260,52,10,5
520,260,15,12,4
521,261,47,7,7
522,261,7,15,2
523,262,24,14,1
524,262,76,6,8
525,263,52,9,5
526,263,76,6,8
527,264,77,10,9
528,264,79,6,11
529,265,78,9,6
530,265,47,7,7
531,266,75,10,10
532,266,73,12,12
533,267,77,15,9
534,267,73,6,12
535,268,75,10,10
536,268,79,5,11
537,269,24,14,1
538,269,15,6,4
539,270,74,7,3
540,270,7,15,2
541,271,52,12,5
542,271,78,8,6
543,272,47,13,7
544,272,76,12,8
545,273,74,12,3
546,273,15,13,4
547,274,24,13,1
548,274,7,8,2
549,275,77,12,9
550,275,75,11,10
551,276,79,6,11
552,276,73,10,12
553,277,80,14,19
554,277,81,9,27
555,278,82,11,17
556,278,83,8,25
557,279,53,10,20
558,279,84,11,28
559,280,85,15,4
560,280,46,9,11
561,281,6,13,6
562,281,86,10,13
563,282,23,15,3
564,282,11,5,12
565,283,8,15,5
566,283,87,3,14
567,284,14,9,18
568,284,88,14,26
569,285,53,12,20
570,285,89,11,22
571,286,6,8,6
572,286,11,13,12
573,287,23,15,3
574,287,86,4,13
575,288,80,11,19
576,288,90,14,21
577,289,85,15,4
578,289,87,5,14
579,290,8,13,5
580,290,46,14,11
581,291,82,15,17
582,291,91,7,23
583,292,14,11,18
584,292,92,10,24
585,293,89,14,22
586,293,84,5,28
587,294,92,12,24
588,294,88,10,26
589,295,21,11,8
590,295,93,7,15
591,296,94,12,7
592,296,95,4,16
593,297,2,12,2
594,297,96,11,9
595,298,91,11,23
596,298,83,10,25
597,299,20,15,1
598,299,49,8,10
599,300,90,12,21
600,300,81,10,27
601,301,46,10,11
602,301,87,14,14
603,302,23,15,3
604,302,6,9,6
605,303,20,15,1
606,303,93,7,15
607,304,94,11,7
608,304,96,7,9
609,305,2,15,2
610,305,95,4,16
611,306,11,13,12
612,306,86,10,13
613,307,21,15,8
614,307,49,7,10
615,308,85,13,4
616,308,8,8,5
617,309,88,15,18
618,309,91,6,23
619,310,83,11,25
620,310,81,9,27
621,311,89,15,20
622,311,80,7,21
623,312,14,15,26
624,312,84,6,28
625,313,82,11,17
626,313,92,15,24
627,314,90,9,19
628,314,53,15,22
629,315,49,8,10
630,315,93,10,15
631,316,2,12,2
632,316,94,6,7
633,317,96,15,9
634,317,95,2,16
635,318,20,11,1
636,318,21,12,8
637,319,46,13,11
638,319,11,12,6
639,320,96,5,9
640,320,20,15,8
641,321,53,8,19
642,321,87,14,14
643,322,86,11,13
644,322,89,12,20
645,323,94,15,7
646,323,93,7,10
647,324,49,8,15
648,324,88,10,18
649,325,8,15,5
650,325,6,7,12
651,326,92,10,17
652,326,95,11,16
653,327,89,14,13
654,327,95,5,16
655,328,83,8,25
656,328,82,11,24
657,329,88,13,15
658,329,87,11,14
659,330,91,9,23
660,330,14,11,26
661,331,81,13,27
662,331,90,9,22
663,332,80,12,21
664,332,84,6,28
665,333,92,14,17
666,333,86,7,20
667,334,53,5,19
668,334,49,15,18
669,335,11,12,10
670,335,93,8,11
671,336,21,10,1
672,336,85,13,4
673,337,94,9,7
674,337,46,12,6
675,338,8,14,5
676,338,20,13,8
677,339,2,15,2
678,339,23,11,3
679,340,96,12,9
680,340,6,8,12
681,341,14,15,23
682,341,81,5,22
683,342,80,7,21
684,342,82,12,24
685,343,92,7,17
686,343,49,15,18
687,344,87,13,15
688,344,95,14,16
689,345,89,13,13
690,345,88,9,14
691,346,53,10,19
692,346,86,11,20
693,347,83,13,25
694,347,84,8,28
695,348,90,12,27
696,348,91,10,26
697,349,82,7,21
698,349,14,9,22
699,350,94,5,7
700,350,20,15,8
701,351,8,15,5
702,351,46,9,6
703,352,23,15,3
704,352,21,13,4
705,353,85,10,1
706,353,2,8,2
707,354,81,10,23
708,354,80,11,24
709,355,93,10,11
710,355,6,15,12
711,356,96,15,9
712,356,11,2,10
713,357,83,10,25
714,357,90,12,26
715,358,91,12,27
716,358,84,8,28
717,359,40,12,12
718,359,45,14,18
719,360,34,11,3
720,360,97,10,5
721,361,98,14,1
722,361,99,15,7
723,362,100,5,2
724,362,36,15,8
725,363,101,9,4
726,363,102,14,6
727,364,103,12,9
728,364,104,3,19
729,365,43,9,15
730,365,105,8,21
731,366,38,14,10
732,366,106,6,20
733,367,107,15,11
734,367,44,7,17
735,368,108,11,14
736,368,45,12,18
737,369,43,9,15
738,369,104,10,19
739,370,103,13,9
740,370,105,4,21
741,371,99,8,1
742,371,34,11,3
743,372,41,13,16
744,372,106,8,20
745,373,36,8,2
746,373,102,14,4
747,374,109,15,13
748,374,44,5,17
749,375,101,15,6
750,375,100,8,8
751,376,97,8,5
752,376,98,14,7
753,377,38,13,10
754,377,41,7,16
755,378,40,13,12
756,378,108,9,14
757,379,107,15,11
758,379,109,8,13
759,380,104,6,19
760,380,105,9,21
761,381,103,13,9
762,381,43,5,15
763,382,99,8,3
764,382,102,14,2
765,383,34,13,1
766,383,36,12,4
767,384,43,7,19
768,384,40,13,14
769,385,45,5,12
770,385,98,15,5
771,386,105,11,15
772,386,108,5,18
773,387,109,1,13
774,387,106,0,20
775,388,41,11,16
776,388,44,12,17
777,389,101,15,6
778,389,107,5,11
779,390,103,13,9
780,390,100,9,8
781,391,97,13,7
782,391,38,12,10
783,392,107,15,11
784,392,40,6,14
785,393,105,6,15
786,393,38,11,10
787,394,109,11,13
788,394,45,13,12
789,395,100,15,9
790,395,44,5,16
791,396,41,1,17
792,396,43,0,19
793,397,108,0,18
794,397,104,1,21
795,398,97,10,7
796,398,102,13,2
797,399,36,0,4
798,399,98,1,5
799,400,101,14,6
800,400,99,13,3
801,401,34,13,1
802,401,103,10,8
803,402,108,1,18
804,402,106,0,20
805,403,43,1,19
806,403,104,0,21
807,404,41,1,17
808,404,106,0,20
809,405,100,15,9
810,405,45,9,12
811,406,109,14,13
812,406,44,8,16
813,407,40,10,14
814,407,105,9,15
815,408,107,11,11
816,408,38,12,10
817,409,108,9,18
818,409,43,8,19
819,410,41,0,17
820,410,104,1,21
821,411,99,15,6
822,411,97,10,7
823,412,101,14,3
824,412,102,9,2
825,413,34,10,1
826,413,98,15,4
827,414,36,13,5
828,414,103,7,8
829,415,43,1,19
830,415,106,0,20
831,416,109,15,13
832,416,40,7,14
833,417,107,15,11
834,417,45,9,12
835,418,105,9,15
836,418,44,10,16
837,419,100,13,9
838,419,38,6,10
839,420,41,0,17
840,420,108,1,18
841,421,106,0,20
842,421,104,1,21
843,422,97,12,7
844,422,103,11,8
845,423,36,10,5
846,423,99,7,6
847,424,102,11,3
848,424,34,10,4
849,425,98,15,1
850,425,101,13,2
851,426,110,15,1
852,426,56,7,6
853,427,98,15,3
854,427,102,8,8
855,428,109,10,11
856,428,111,2,17
857,429,107,8,9
858,429,112,6,14
859,430,54,11,10
860,430,113,15,13
861,431,97,13,12
862,431,114,11,15
863,432,109,7,11
864,432,59,6,16
865,433,112,13,14
866,433,111,2,17
867,434,113,13,13
868,434,114,7,15
869,435,56,13,6
870,435,102,9,8
871,436,115,15,9
872,436,116,8,14
873,437,110,15,1
874,437,98,8,3
875,438,117,13,12
876,438,118,12,15
877,439,63,8,10
878,439,108,15,13
879,440,119,15,2
880,440,101,11,5
881,441,54,12,10
882,441,97,11,12
883,442,120,15,4
884,442,100,10,7
885,443,121,14,11
886,443,58,12,16
887,444,107,12,9
888,444,59,4,16
889,445,103,14,4
890,445,57,8,7
891,446,122,15,2
892,446,123,6,5
893,447,99,12,1
894,447,61,14,6
895,448,124,14,3
896,448,125,13,8
897,449,109,6,11
898,449,112,10,14
899,450,107,13,9
900,450,111,3,17
901,451,98,9,3
902,451,56,14,6
903,452,54,6,10
904,452,114,15,15
905,453,63,11,10
906,453,118,10,15
907,454,117,10,12
908,454,108,15,13
909,455,97,13,12
910,455,113,12,13
911,456,110,15,1
912,456,102,5,8
913,457,119,15,2
914,457,100,8,7
915,458,120,10,4
916,458,101,15,5
917,459,121,11,11
918,459,116,15,14
919,460,115,15,9
920,460,58,12,16
