id,tournament_event_id,round,starts_at
1,1,pool,2019-04-27 10:00:00+01
2,1,pool,2019-04-27 10:00:00+01
3,1,pool,2019-04-27 10:00:00+01
4,1,pool,2019-04-27 10:00:00+01
5,1,pool,2019-04-27 10:30:00+01
6,1,pool,2019-04-27 10:30:00+01
7,1,pool,2019-04-27 11:30:00+01
8,1,pool,2019-04-27 11:30:00+01
9,1,pool,2019-04-27 11:30:00+01
10,1,pool,2019-04-27 11:30:00+01
11,1,pool,2019-04-27 11:30:00+01
12,1,pool,2019-04-27 11:30:00+01
13,1,pool,2019-04-27 11:50:00+01
14,1,pool,2019-04-27 11:50:00+01
15,1,pool,2019-04-27 13:00:00+01
16,1,pool,2019-04-27 13:00:00+01
17,1,pool,2019-04-27 13:00:00+01
18,1,pool,2019-04-27 13:00:00+01
19,1,pool,2019-04-27 13:10:00+01
20,1,pool,2019-04-27 14:30:00+01
21,1,pool,2019-04-27 14:30:00+01
22,1,pool,2019-04-27 14:30:00+01
23,1,pool,2019-04-27 14:30:00+01
24,1,pool,2019-04-27 14:30:00+01
25,1,pool,2019-04-27 14:30:00+01
26,1,pool,2019-04-27 14:30:00+01
27,1,pool,2019-04-27 14:30:00+01
28,1,pool,2019-04-27 15:50:00+01
29,1,pool,2019-04-27 16:00:00+01
30,1,pool,2019-04-27 16:00:00+01
31,1,pool,2019-04-27 16:00:00+01
32,1,pool,2019-04-27 16:00:00+01
33,1,pool,2019-04-27 16:00:00+01
34,1,pool,2019-04-27 16:00:00+01
35,1,pool,2019-04-27 17:10:00+01
36,1,pool,2019-04-27 17:10:00+01
37,1,pool,2019-04-27 17:30:00+01
38,1,pool,2019-04-27 17:30:00+01
39,1,pool,2019-04-27 17:30:00+01
40,1,pool,2019-04-27 17:30:00+01
41,1,pool,2019-04-28 10:00:00+01
42,1,bracket,2019-04-28 10:00:00+01
43,1,bracket,2019-04-28 10:00:00+01
44,1,bracket,2019-04-28 10:00:00+01
45,1,pool,2019-04-28 10:00:00+01
46,1,bracket,2019-04-28 10:00:00+01
47,1,bracket,2019-04-28 11:30:00+01
48,1,bracket,2019-04-28 11:30:00+01
49,1,bracket,2019-04-28 11:30:00+01
50,1,bracket,2019-04-28 11:30:00+01
51,1,bracket,2019-04-28 11:30:00+01
52,1,bracket,2019-04-28 11:30:00+01
53,1,bracket,2019-04-28 11:30:00+01
54,1,bracket,2019-04-28 11:30:00+01
55,1,pool,2019-04-28 13:00:00+01
56,1,bracket,2019-04-28 13:00:00+01
57,1,pool,2019-04-28 13:00:00+01
58,1,bracket,2019-04-28 13:00:00+01
59,1,bracket,2019-04-28 13:00:00+01
60,1,bracket,2019-04-28 13:00:00+01
61,1,pool,2019-04-28 14:30:00+01
62,1,bracket,2019-04-28 14:30:00+01
63,1,bracket,2019-04-28 14:30:00+01
64,1,pool,2019-04-28 14:30:00+01
65,1,bracket,2019-04-28 14:30:00+01
66,1,bracket,2019-04-28 14:30:00+01
67,1,bracket,2019-04-28 14:30:00+01
68,1,bracket,2019-04-28 14:30:00+01
69,1,bracket,2019-04-28 16:00:00+01
70,1,bracket,2019-04-28 16:00:00+01
71,1,bracket,2019-04-28 16:00:00+01
72,1,bracket,2019-04-28 16:00:00+01
73,1,bracket,2019-04-28 16:00:00+01
74,1,bracket,2019-04-28 16:00:00+01
75,2,pool,2019-05-18 10:00:00+01
76,2,pool,2019-05-18 10:00:00+01
77,2,pool,2019-05-18 10:00:00+01
78,2,pool,2019-05-18 11:20:00+01
79,2,pool,2019-05-18 11:20:00+01
80,2,pool,2019-05-18 11:20:00+01
81,2,pool,2019-05-18 11:20:00+01
82,2,pool,2019-05-18 12:40:00+01
83,2,pool,2019-05-18 12:40:00+01
84,2,pool,2019-05-18 14:00:00+01
85,2,pool,2019-05-18 14:00:00+01
86,2,pool,2019-05-18 14:00:00+01
87,2,pool,2019-05-18 15:20:00+01
88,2,pool,2019-05-18 15:20:00+01
