id,club_id,name,division,team_number
1,1,Glasgow Mixed 1,X,
2,2,Birmingham Ultimate,X,
3,3,MIST,X,
4,1,Glasgow Mixed 2,X,
5,4,Mighty Hucks,X,
6,5,Black Sheep Mixed 1,X,
7,6,Thundering Herd 1,X,
8,7,Guildford Ultimate 1,X,
9,8,The Brown,X,
10,9,LLLeeds Mixed 2,X,
11,10,MUC Mixed,X,
12,11,Nemesis,X,
13,12,Manchester 1,X,
14,13,Ouseburn Social Club,X,
15,14,Geometrically Frustrated Magnets 1,X,
16,5,Black Sheep Mixed 2,X,
17,15,Sneeekys 2,X,
18,3,SMOKE,X,
19,16,GB U24 Mixed,X,
20,17,Reading Mixed 1,X,
21,9,LLLeeds Mixed 1,X,
22,18,Black Eagles,X,
23,19,Cambridge Ultimate 1,X,
24,20,Deep Space,X,
25,15,Sneeekys 1,X,
26,21,IronMandelas,X,
27,22,Heriot Watt Alumni,X,
28,23,Farflung 1,X,
29,24,EKU,X,
30,23,Farflung 2,X,
31,24,EKU A,X,
32,1,Glasgow Mixed 3,X,
33,25,Rogue Pandas,X,
34,26,Brighton Open,O,
35,27,Horsham Ultimate Open,O,
36,28,BLU.,O,
37,29,Brighton Ultimate 2,O,
38,30,Camden Ultimate,O,
39,31,Team Surrey Ultimate,O,
40,32,Kent Open,O,
41,33,Brixton Open,O,
42,34,Plymouth Ultimate,O,
43,35,St Albans Open,O,
44,36,SCU 1,O,
45,37,Curve Open,O,
46,38,Cosmic Manatees,X,
47,37,Curve Mixed,X,
48,39,Zooper Troupers,X,
49,35,St Albans Mixed,X,
50,40,Mythago,X,
51,41,PICNIC,X,
52,42,Oxford Ultimate Mixed,X,
53,32,Kent Mixed,X,
54,43,Manchester Ultimate,O,
55,8,The Brown Open 2,O,
56,44,Alba,O,
57,45,Vision,O,
58,9,LLLeeds Open 1,O,
59,46,LED Open,O,
60,3,SMOG Open 1,O,
61,47,YOpen,O,
62,48,Uproar,O,
63,8,The Brown Open 1,O,
64,49,SCRAM 1,W,
65,19,Cambridge Women,W,
66,3,SMOG Women 1,W,
67,50,untitLED,W,
68,9,LLLeeds Women 1,W,
69,8,The Brown Women's 1,W,
70,51,Hydra,W,
71,10,MUC-chester,W,
72,49,SCRAM 2,W,
73,52,Chiquititas,X,
74,53,EXƎ,X,
75,37,Lurve Mixed,X,
76,54,Meridian Ultimate,X,
77,6,Thundering Herd 2,X,
78,27,Horsham Ultimate,X,
79,33,Brixton Mixed,X,
80,55,North Wales Mixed,X,
81,56,Zoo A,X,
82,17,Reading Mixed 2,X,
83,57,Pic n Mix,X,
84,7,Guildford Ultimate 2,X,
85,58,Leamington Lemmings,X,
86,46,LED Mixed,X,
87,59,Shakedown,X,
88,60,Norwich,X,
89,61,Dreadnought Mixed,X,
90,62,The Chilterns Collective,X,
91,19,Cambridge Ultimate 2,X,
92,63,SLOTHS,X,
93,56,Zoo,X,
94,64,Purple Cobras Mixed,X,
95,65,Bristol Mixed,X,
96,66,Ireland U24 Mixed,X,
97,67,Flump Open,O,
98,68,Ka-Pow!,O,
99,6,Thundering Him,O,
100,69,EMO 1,O,
101,70,Ranelagh 1,O,
102,71,Fire of London 1,O,
103,64,Purple Cobras Open,O,
104,72,Sharkbear!,O,
105,52,Chiquititas,O,
106,62,The Chilterns Collective,O,
107,58,Leamington Lemmings Open,O,
108,73,Oxford Opens,O,
109,19,Cambridge Ultimate 1,O,
110,74,Clapham Ultimate,O,
111,75,Red Open 2,O,
112,76,Shake & Bake,O,
113,2,Birmingham Ultimate 1,O,
114,77,GB U20 Open,O,
115,78,Rebel Ultimate 1,O,
116,17,Reading Open 1,O,
117,75,Red Open 1,O,
118,2,Birmingham Ultimate 2,O,
119,79,Chevron Action Flash,O,
120,80,Devon Ultimate,O,
121,65,Bristol Open 1,O,
122,81,BAF Open,O,
123,82,Ireland Junior Men,O,
124,69,EMO 2,O,
125,17,Reading Open 2,O,
126,65,Bristol Women 1,W,
127,75,Red Women 1,W,
128,17,Reading Aces,W,
129,83,SYC,W,
130,77,GB U20 Women,W,
131,84,Discie Chicks,W,
132,85,Chaos x Brixton,W,
133,75,Red Women 2,W,
134,6,Thundering Her,W,
135,17,Reading Diamonds,W,
136,26,Brighton Women,W,
137,86,GB Men,O,
138,1,Glasgow Open 1,O,
139,66,Ireland U24 Men,O,
140,78,Rebel Ultimate 2,O,
141,87,ExeTour,O,
142,70,Ranelagh 2,O,
143,25,Rogue Pandas,O,
144,16,GB U24 Men,O,
145,47,YOpen 2,O,
146,88,Wight Wild Cards,O,
147,89,South Wales Storm,O,
148,90,Flyght Club,O,
149,1,Glasgow Open 2,O,
150,91,PELT Ultimate,O,
151,92,GB Master Men,O,
152,86,GB Women,W,
153,66,Ireland U24 Women,W,
154,65,Bristol White,W,
155,16,GB U24 Women,W,
156,65,Bristol Red,W,
157,93,Iceni,W,
158,94,Swift,W,
159,37,Curve,W,
160,58,Lady Lemmings,W,
161,95,Deadly Buzz,W,
162,92,GB Master Women,W,
163,17,Reading Women 1,W,
164,17,Reading Women 2,W,
165,96,Uprising,W,
166,97,Bristol University Open 1,O,
167,98,GB U17 Open,O,
168,89,South Wales Storm 2,O,
169,99,Exe Ladies,W,
170,26,Brighton Mixed,X,
171,61,Dreadnought Development Mixed,X,
172,72,Sharkbear!,X,
173,3,SMOG 2,X,
174,3,SMOG 1,X,
175,100,Throwback,W,
176,101,XVI,O,
177,102,PELT,X,
178,103,Gravity,W,
179,104,Rebel,W,
180,105,MPA,X,
181,106,TBC,X,
182,107,Royal Goaltimate Society,X,
183,108,Ireland Mixed,X,
184,109,DK,X,
185,89,South Wales Storm,X,
186,12,Manchester Mixed,X,
187,89,South Wales Storm 2,X,
188,110,Sheffield Steal,X,
189,111,Fresh People,X,
