id,tournament_event_id,team_id,final_placement,initial_seed
1,1,22,1,1
2,1,1,2,3
3,1,18,3,4
4,1,5,4,2
5,1,19,5,10
6,1,3,6,5
7,1,24,7,6
8,1,2,8,9
9,1,20,9,7
10,1,8,10,14
11,1,7,11,8
12,1,21,12,13
13,1,23,13,11
14,1,6,14,12
15,1,4,15,15
16,1,25,16,16
17,1,15,17,20
18,1,11,18,17
19,1,12,19,21
20,1,16,20,24
21,1,9,21,19
22,1,14,22,22
23,1,13,23,18
24,1,10,24,25
25,1,17,25,23
26,2,31,1,6
27,2,1,2,1
28,2,29,3,2
29,2,4,4,4
30,2,27,5,3
31,2,33,6,7
32,2,32,7,11
33,2,25,8,5
34,2,26,9,9
35,2,30,10,10
36,2,28,11,8
37,3,36,1,2
38,3,38,2,3
39,3,40,3,4
40,3,39,4,10
41,3,34,5,1
42,3,41,6,9
43,3,35,7,12
44,3,42,8,6
45,3,43,9,7
46,3,45,10,5
47,3,44,11,8
48,3,37,12,11
49,4,2,1,2
50,4,46,2,5
51,4,7,3,1
52,4,52,4,8
53,4,49,5,6
54,4,8,6,3
55,4,50,7,7
56,4,48,8,9
57,4,53,9,10
58,4,47,10,4
59,4,51,11,11
60,5,60,1,2
61,5,56,2,1
62,5,54,3,3
63,5,58,4,4
64,5,57,5,6
65,5,63,6,7
66,5,61,7,5
67,5,55,8,10
68,5,59,9,9
69,5,62,10,8
70,6,66,1,2
71,6,64,2,3
72,6,67,3,9
73,6,70,4,1
74,6,68,5,5
75,6,72,6,4
76,6,65,7,8
77,6,69,8,7
78,6,71,9,6
79,7,24,1,1
80,7,7,2,2
81,7,15,3,6
82,7,74,4,3
83,7,52,5,9
84,7,78,6,10
85,7,47,7,4
86,7,76,8,8
87,7,77,9,5
88,7,73,10,12
89,7,75,11,11
90,7,79,12,7
91,8,85,1,4
92,8,2,2,2
93,8,23,3,3
94,8,21,4,8
95,8,8,5,5
96,8,46,6,11
97,8,20,7,1
98,8,94,8,7
99,8,96,9,9
100,8,11,10,12
101,8,6,11,6
102,8,93,12,15
103,8,89,13,22
